city_name,latitude,temperature_Kelvin,humidity,cloudiness,wind_speed
Naze,5.43,301.7,71,80,2.03
Tamiahua,21.28,298.7,85,88,1.72
Itoman,26.12,301.58,83,20,6.2
Dunedin,-45.87,284.26,65,100,3.13
Texarkana,33.44,298.43,83,13,2.68
Craig,40.52,283.31,93,1,1.9
Zhigansk,66.77,288.7,61,100,5.59
Macau,-5.11,300.1,65,0,7.95
Filadelfia,-22.35,294.5,69,97,2.79
Axim,4.87,297.8,85,100,6.27
Poco Branco,-5.62,301.15,69,75,6.7
Hami,42.84,306.4,15,17,2.42
Beloha,-25.17,298.3,38,0,4.2
Oranjestad,12.52,302.15,74,20,6.7
Lewiston,44.1,295.2,83,1,3.1
Hambantota,6.12,303.15,79,0,5.7
Thunder Bay,48.41,290.52,77,20,4.6
Alakurtti,66.96,284.26,65,97,2.68
Bathsheba,13.22,300.82,74,40,7.7
Vuktyl,63.86,286.7,95,100,5.41
Ouadda,8.07,299.6,76,98,0.48
Lazaro Cardenas,28.39,295.93,54,0,0.6
Nanning,22.83,303.15,84,0,1.0
Snasa,64.25,284.0,78,100,1.66
Rosarito,4.91,293.14,100,75,1.5
Iqaluit,63.75,282.1,81,40,2.1
Marsabit,2.34,308.3,25,69,7.24
Palmer,-34.85,281.68,66,20,6.2
Murmashi,68.82,282.15,76,75,4.0
Tautira,-17.73,296.03,83,40,1.5
Natal,-5.81,301.15,69,75,6.7
Umm Kaddadah,13.6,305.8,32,70,1.48
Pundaguitan,6.37,299.9,75,100,3.6
Artvin,41.18,296.15,73,75,2.6
Sechura,-5.56,291.0,87,46,4.64
Lagoa,37.14,296.7,78,20,4.1
Tabas,33.6,319.15,9,0,2.1
Aquin,18.28,299.2,75,0,1.26
Fairbanks,64.84,288.18,93,90,0.89
Semikarakorsk,47.52,293.15,64,20,2.0
Millinocket,45.66,294.21,73,40,4.6
Bumba,2.18,298.3,79,99,1.19
Tolmachevo,55.36,290.39,59,0,3.0
Padang,-0.92,302.0,74,1,3.91
Maldonado,-34.91,283.15,87,90,5.1
Muroto,33.37,294.1,98,100,2.23
Lalmohan,22.34,301.4,83,100,5.7
Namtsy,62.72,300.15,47,0,1.0
Khorol,49.78,294.2,62,49,3.38
Pilar,-34.46,279.72,100,90,1.5
MBour,14.41,302.15,62,0,4.1
Biak,-0.91,287.1,86,44,2.16
Kautokeino,69.01,287.3,45,100,1.9
Soldotna,60.48,285.48,93,20,4.4
Lokosovo,61.13,300.1,39,68,2.22
Zalantun,48.0,291.7,87,95,1.23
Inhambane,-23.87,300.15,51,40,3.1
Conceicao das Alagoas,-19.91,294.15,46,0,4.1
Conceicao da Barra,-18.59,296.1,68,0,1.63
Kallaste,58.66,290.81,42,80,4.1
Nova Granada,-20.53,293.15,52,0,2.6
Chapais,49.78,289.15,87,90,3.6
Noumea,-22.28,291.15,93,90,2.1
Pimenta Bueno,-11.68,297.3,61,35,0.61
Akim Swedru,5.89,301.0,71,97,1.71
Prince Rupert,54.32,288.15,93,90,1.0
Carballo,43.21,296.79,73,40,2.1
Linxia,35.6,290.2,53,32,1.3
Varhaug,58.61,287.58,77,75,8.7
Ust-Omchug,61.13,288.7,63,57,1.89
Goksun,38.02,304.22,33,75,8.2
Taksimo,56.36,287.7,64,25,4.23
Amalapuram,16.58,305.15,62,75,4.6
Russkaya Polyana,53.78,299.4,49,0,5.89
Cervo,-22.19,284.15,87,0,1.52
Ngunguru,-35.62,288.71,89,100,3.13
